"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NO";"MANUFACTURER_PART_NUMBER";"NOTES";"PACKAGE";"PARTNUMBER";"PIE-INT-REF-NUM";"PROD_ID";"REFDES";"SF_ID";"TYPE";"VALUE";"VENDOR";
"3";"10k";"R-US_R0603";"R0603";"R3, R5, R9";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"1";"10uF";"CAP0603-CAP";"0603-CAP";"C5";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"2";"18pF";"CAP0603-CAP";"0603-CAP";"C9, C10";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"2";"1uF";"CAP0603-CAP";"0603-CAP";"C2, C11";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"2";"2.2uF";"CAP0603-CAP";"0603-CAP";"C1, C3";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"1";"2.2uH";"ASPI-0530_INDUCTOR";"ASPI";"L1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"220";"R-US_R0603";"R0603";"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"1";"220mV";"DIODESOD-323";"SOD-323";"D1";"Diode";"";"";"";"";"";"";"";"";"";"";"DIODE";"";"";"";"";"";"";
"1";"22uF";"CAP0603-CAP";"0603-CAP";"C8";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"2";"3.3k";"R-US_R0603";"R0603";"R1, R2";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"1";"499k";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"1";"5.6k";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"1";"5m";"R-US_R2512";"R2512";"R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"RESISTOR-GENERIC";"";"";"";"";"";"";
"2";"ANDERSONVERTICAL";"ANDERSONVERTICAL";"ANDERSON_VERTICAL";"J3, J4";"2-pin 25A Anderson Connector";"";"";"";"";"";"";"";"";"";"";"Anderson";"";"";"";"";"";"";
"4";"ATX";"ATX";"ATX";"J5, J6, J7, J8";"ATX 2 Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AVR_SPI_PROG_5X2LOCK";"AVR_SPI_PROG_5X2LOCK";"2X5-SHROUDED_LOCK";"J10";"AVR 10-pin ICSP Header";"";"";"";"";"";"";"";"";"";"";"";"CONN-08671";"";"PRT-08506";"";"";"";
"1";"BAR_SEGMENT_DISPLAY";"BAR_SEGMENT_DISPLAY";"BAR_SEGMENT_DISPLAY";"LED1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BQ7692006PWRPW20-M";"BQ7692006PWRPW20-M";"PW20-M";"U1";"";"";"";"";"";"";"";"BQ7692006PWR";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"1";"D6C90F1LFS";"D6C90F1LFS";"D6C_BUTTON";"BUT1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"STD20NF06LDPAK-M";"STD20NF06LDPAK-M";"DPAK-M";"M1, M2";"";"";"";"";"";"";"";"STD20NF06L";"";"";"";"";"";"";"";"";"";"STMicroelectronics";
"1";"Value";"TPS62133RGTR";"RGT0016C";"U2";"";"";"";"";"Texas Instruments";"Texas Instruments";"";"TPS62133RGTR";"";"";"TPS62133RGTR";"";"";"RefDes";"";"TYPE";"Value";"";
"1";"XT60CONNECTOR";"XT60CONNECTOR";"XT60CONNECTOR";"J1";"12V XT60 power connector";"";"";"";"";"";"";"";"";"";"PRT-10474 ";"";"";"";"";"";"";"";
