"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEETURL";"DCR";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"IDC";"L";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NO";"MANUFACTURER_PART_NUMBER";"NOTES";"PACKAGE";"PACKAGE_DESIGNATOR";"PARTNUMBER";"PART_NO";"PIE-DIGIKEY-PN-ALT1";"PIE-DIGIKEY-PN-PRI";"PIE-INT-REF-NUM";"PROD_ID";"REFDES";"SF_ID";"TYPE";"VALUE";"VENDOR";
"10";"150R";"R-US_R0603";"R0603";"R18, R19, R20, R21, R22, R23, R24, R25, R26, R27";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"2";"18pF";"CAP0603-CAP";"0603-CAP";"C12, C13";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"4";"1uF";"CAP0603-CAP";"0603-CAP";"C2, C10, C15, C16";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"2";"2.2uF";"CAP0603-CAP";"0603-CAP";"C1, C3";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"5";"220R";"R-US_R0603";"R0603";"R13, R14, R15, R16, R17";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"2";"22R";"R-US_R0603";"R0603";"R28, R29";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"2";"3.3k";"R-US_R0603";"R0603";"R3, R4";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"1";"3.3uH";"L_VLP8040T-3R3N";"VLP8040";"L1";"";"httpwww.tdk.co.jptjfx01j531_vlp.pdf";"0.02";"Unknown";"";"";"5.2";"3.3E6";"TDK";"TDK";"";"VLP8040T3R3N";"";"";"VLP8040";"";"";"";"";"";"";"";"";"";"";"TDK";
"1";"47uF";"CAP0805";"0805";"C9";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"1";"499k";"R-US_R0603";"R0603";"R5";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"1";"5.6k";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"1";"56.2k";"R-US_R0603";"R0603";"R10";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"1";"5m";"SHUNT_SMD";"SMD_SHUNT";"R7";"";"";"";"";"";"";"";"";"";"";"WSHM28185L000FEA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"8.2nF";"CAP0603-CAP";"0603-CAP";"C7";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"3";"ANDERSONVERTICAL";"ANDERSONVERTICAL";"ANDERSON_VERTICAL";"CONN1, CONN2, CONN3";"2-pin 25A Anderson Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Anderson";"";"";"";"";"";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"U3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ATMEGA32U4-MURCT-ND";"ATMEGA32U4RC-MURCT-ND";"ATmega32U4";"";"";"";"";"";"";
"4";"ATX";"ATX";"ATX";"JP2, JP3, JP4, JP5";"ATX 2 Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AVR_SPI_PRG_6MA03-2";"AVR_SPI_PRG_6MA03-2";"MA03-2";"J2";"AVR ISP 6 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BULK-STOCK";"";"";"";"";"";"";
"1";"BAR_SEGMENT_DISPLAY";"BAR_SEGMENT_DISPLAY";"BAR_SEGMENT_DISPLAY";"LED6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BQ7692006PWRPW20-M";"BQ7692006PWRPW20-M";"PW20-M";"U1";"";"";"";"";"";"";"";"";"";"";"";"BQ7692006PWR";"";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"1";"D_MBR1020VL";"D_MBR1020VL";"SOD-123FL";"D2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MBR1020VL";"";"";"";"";"";"";"";"";"";
"1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_K12A";"SW1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"STD20NF06LDPAK-M";"STD20NF06LDPAK-M";"DPAK-M";"M1, M2";"";"";"";"";"";"";"";"";"";"";"";"STD20NF06L";"";"";"";"";"";"";"";"";"";"";"";"";"";"STMicroelectronics";
